Year ,Name ,Country ,Time ,Gender,Marathon City 
1897,John J. McDermott,USA,2:55:10,M,Boston 
1898,Ronald J. MacDonald,Canada ,2:42:00,M,Boston 
1899,Lawrence Brignolia,USA,2:54:38,M,Boston 
1900,"John ""Jack"" Caffery",Canada ,2:39:44,M,Boston 
1901,"John ""Jack"" Caffery",Canada ,2:29:23,M,Boston 
1902,Sammy Mellor,USA,2:43:12,M,Boston 
1903,John Lorden,USA,2:41:29,M,Boston 
1904,Michael Spring,USA,2:38:04,M,Boston 
1905,Frederick Lorz,USA,2:38:25,M,Boston 
1906,Tim Ford,USA,2:45:45,M,Boston 
1907,Thomas Longboat,Canada ,2:24:24,M,Boston 
1908,Thomas Morrissey,USA,2:25:43,M,Boston 
1909,Henri Renaud,USA,2:53:36,M,Boston 
1910,Fred Cameron,Canada ,2:28:52,M,Boston 
1911,Clarence DeMar,USA,2:21:39,M,Boston 
1912,Michael J. Ryan,USA,2:21:18,M,Boston 
1913,Fritz Carlson,USA,2:25:14,M,Boston 
1914,James Duffy,Canada ,2:25:14,M,Boston 
1915,Édouard Fabre,Canada ,2:31:41,M,Boston 
1916,Arthur Roth,USA,2:27:16,M,Boston 
1917,Bill Kennedy,USA,2:28:37,M,Boston 
1918,Camp Devens relay team[3],USA,2:29:53,M,Boston 
1919,Carl Linder,USA,2:29:13,M,Boston 
1920,Peter Trivoulides,Greece ,2:29:31,M,Boston 
1921,Frank Zuna,USA,2:18:57,M,Boston 
1922,Clarence DeMar,USA,2:18:10,M,Boston 
1923,Clarence DeMar,USA,2:23:47,M,Boston 
1924,Clarence DeMar,USA,2:29:40,M,Boston 
1925,Charles Mellor,USA,2:33:00,M,Boston 
1926,Johnny Miles,Canada ,2:25:40,M,Boston 
1927,Clarence DeMar,USA,2:40:22,M,Boston 
1928,Clarence DeMar,USA,2:37:07,M,Boston 
1929,Johnny Miles,Canada ,2:33:08,M,Boston 
1930,Clarence DeMar,USA,2:34:48,M,Boston 
1931,James Henigan,USA,2:46:45,M,Boston 
1932,Paul de Bruyn,Germany,2:33:36,M,Boston 
1933,Leslie S. Pawson,USA,2:31:01,M,Boston 
1934,Dave Komonen,Canada ,2:32:53,M,Boston 
1935,John A. Kelley,USA,2:32:07,M,Boston 
1936,Ellison Brown,USA,2:33:40,M,Boston 
1937,Walter Young,Canada ,2:33:20,M,Boston 
1938,Leslie S. Pawson,USA,2:35:34,M,Boston 
1939,Ellison Brown,USA,2:28:51,M,Boston 
1940,Gérard Côté,Canada ,2:28:28,M,Boston 
1941,Leslie S. Pawson,USA,2:30:38,M,Boston 
1942,Joe Smith,USA,2:26:51,M,Boston 
1943,Gérard Côté,Canada ,2:28:25,M,Boston 
1944,Gérard Côté,Canada ,2:31:50,M,Boston 
1945,John A. Kelley,USA,2:30:40,M,Boston 
1946,Stylianos Kyriakides,Greece ,2:29:27,M,Boston 
1947,Suh Yun-bok, South Korea,2:25:39,M,Boston 
1948,Gérard Côté,Canada ,2:31:02,M,Boston 
1949,Gösta Leandersson, Sweden,2:31:50,M,Boston 
1950,Ham Kee-Yong, South Korea,2:32:39,M,Boston 
1951,Shigeki Tanaka, Japan,2:27:45,M,Boston 
1952,Doroteo Flores, Guatemala,2:31:53,M,Boston 
1953,Keizo Yamada, Japan,2:18:51,M,Boston 
1954,Veikko Karvonen, Finland,2:20:39,M,Boston 
1955,Hideo Hamamura, Japan,2:18:22,M,Boston 
1956,Antti Viskari, Finland,2:14:14,M,Boston 
1957,John J. Kelley,USA,2:20:05,M,Boston 
1958,Franjo Mihali?, Yugoslavia,2:25:54,M,Boston 
1959,Eino Oksanen, Finland,2:22:42,M,Boston 
1960,Paavo Kotila, Finland,2:20:54,M,Boston 
1961,Eino Oksanen, Finland,2:23:39,M,Boston 
1962,Eino Oksanen, Finland,2:23:48,M,Boston 
1963,Aurèle Vandendriessche, Belgium,2:18:58,M,Boston 
1964,Aurèle Vandendriessche, Belgium,2:19:59,M,Boston 
1965,Morio Shigematsu, Japan,2:16:33,M,Boston 
1966,Kenji Kimihara, Japan,2:17:11,M,Boston 
1967,Dave McKenzie, New Zealand,2:15:45,M,Boston 
1968,Amby Burfoot,USA,2:22:17,M,Boston 
1969,Yoshiaki Unetani, Japan,2:13:49,M,Boston 
1970,Ron Hill,UK,2:10:30,M,Boston 
1971,Álvaro Mejía, Colombia,2:18:45,M,Boston 
1972,Olavi Suomalainen, Finland,2:15:39,M,Boston 
1973,Jon Anderson,USA,2:16:03,M,Boston 
1974,Neil Cusack, Ireland,2:13:39,M,Boston 
1975,Bill Rodgers,USA,2:09:55,M,Boston 
1976,Jack Fultz,USA,2:20:19,M,Boston 
1977,Jerome Drayton,Canada ,2:14:46,M,Boston 
1978,Bill Rodgers,USA,2:10:13,M,Boston 
1979,Bill Rodgers,USA,2:09:27,M,Boston 
1980,Bill Rodgers,USA,2:12:11,M,Boston 
1981,Toshihiko Seko, Japan,2:09:26,M,Boston 
1982,Alberto Salazar,USA,2:08:52,M,Boston 
1983,Greg Meyer,USA,2:09:00,M,Boston 
1984,Geoff Smith,UK,2:10:34,M,Boston 
1985,Geoff Smith,UK,2:14:05,M,Boston 
1986,Robert de Castella, Australia,2:07:51,M,Boston 
1987,Toshihiko Seko, Japan,2:11:50,M,Boston 
1988,Ibrahim Hussein, Kenya,2:08:43,M,Boston 
1989,Abebe Mekonnen, Ethiopia,2:09:06,M,Boston 
1990,Gelindo Bordin, Italy,2:08:19,M,Boston 
1991,Ibrahim Hussein, Kenya,2:11:06,M,Boston 
1992,Ibrahim Hussein, Kenya,2:08:14,M,Boston 
1993,Cosmas Ndeti, Kenya,2:09:33,M,Boston 
1994,Cosmas Ndeti, Kenya,2:07:15,M,Boston 
1995,Cosmas Ndeti, Kenya,2:09:22,M,Boston 
1996,Moses Tanui, Kenya,2:09:15,M,Boston 
1997,Lameck Aguta, Kenya,2:10:34,M,Boston 
1998,Moses Tanui, Kenya,2:07:34,M,Boston 
1999,Joseph Chebet, Kenya,2:09:52,M,Boston 
2000,Elijah Lagat, Kenya,2:09:47,M,Boston 
2001,Lee Bong-Ju, South Korea,2:09:43,M,Boston 
2002,Rodgers Rop, Kenya,2:09:02,M,Boston 
2003,Robert Kipkoech Cheruiyot, Kenya,2:10:11,M,Boston 
2004,Timothy Cherigat, Kenya,2:10:37,M,Boston 
2005,Hailu Negussie, Ethiopia,2:11:44,M,Boston 
2006,Robert Kipkoech Cheruiyot, Kenya,2:07:14,M,Boston 
2007,Robert Kipkoech Cheruiyot, Kenya,2:14:13,M,Boston 
2008,Robert Kipkoech Cheruiyot, Kenya,2:07:45,M,Boston 
2009,Deriba Merga, Ethiopia,2:08:42,M,Boston 
2010,Robert Kiprono Cheruiyot, Kenya,2:05:52,M,Boston 
2011,Geoffrey Mutai, Kenya,2:03:02,M,Boston 
2012,Wesley Korir, Kenya,2:12:40,M,Boston 
2013,Lelisa Desisa Benti, Ethiopia,2:10:22,M,Boston 
2014,Meb Keflezighi,USA,2:08:37,M,Boston 
2015,Lelisa Desisa Benti, Ethiopia,2:09:17,M,Boston 
2016,Lemi Berhanu Hayle, Ethiopia,2:12:45,M,Boston 
2017,Geoffrey Kirui, Kenya,2:09:37,M,Boston 
2018,Yuki Kawauchi, Japan,2:15:58,M,Boston 
2019,Lawrence Cherono, Kenya,2:07:57,M,Boston 
1966,Bobbi Gibb,USA,3:21:40,F,Boston 
1967,Bobbi Gibb,USA,3:27:17,F,Boston 
1968,Bobbi Gibb,USA,3:30:00,F,Boston 
1969,Sara Mae Berman,USA,3:22:46,F,Boston 
1970,Sara Mae Berman,USA,3:05:07,F,Boston 
1971,Sara Mae Berman,USA,3:08:30,F,Boston 
1972,Nina Kuscsik,USA,3:10:26,F,Boston 
1973,Jacqueline Hansen,USA,3:05:59,F,Boston 
1974,Miki Gorman,USA,2:47:11,F,Boston 
1975,Liane Winter, West Germany,2:42:24,F,Boston 
1976,Kim Merritt,USA,2:47:10,F,Boston 
1977,Miki Gorman,USA,2:48:33,F,Boston 
1978,Gayle Barron,USA,2:44:52,F,Boston 
1979,Joan Benoit,USA,2:35:15,F,Boston 
1980,Jacqueline Gareau, Canada,2:34:28,F,Boston 
1981,Allison Roe, New Zealand,2:26:46,F,Boston 
1982,Charlotte Teske, West Germany,2:29:33,F,Boston 
1983,Joan Benoit,USA,2:22:43,F,Boston 
1984,Lorraine Moller, New Zealand,2:29:28,F,Boston 
1985,Lisa Larsen Weidenbach,USA,2:34:06,F,Boston 
1986,Ingrid Kristiansen, Norway,2:24:55,F,Boston 
1987,Rosa Mota, Portugal,2:25:21,F,Boston 
1988,Rosa Mota, Portugal,2:24:30,F,Boston 
1989,Ingrid Kristiansen, Norway,2:24:33,F,Boston 
1990,Rosa Mota, Portugal,2:25:24,F,Boston 
1991,Wanda Panfil, Poland,2:24:18,F,Boston 
1992,Olga Markova, Russia,2:23:43,F,Boston 
1993,Olga Markova, Russia,2:25:27,F,Boston 
1994,Uta Pippig, Germany,2:21:45,F,Boston 
1995,Uta Pippig, Germany,2:25:11,F,Boston 
1996,Uta Pippig, Germany,2:27:12,F,Boston 
1997,Fatuma Roba, Ethiopia,2:26:23,F,Boston 
1998,Fatuma Roba, Ethiopia,2:23:21,F,Boston 
1999,Fatuma Roba, Ethiopia,2:23:25,F,Boston 
2000,Catherine Ndereba, Kenya,2:26:11,F,Boston 
2001,Catherine Ndereba, Kenya,2:23:53,F,Boston 
2002,Margaret Okayo, Kenya,2:20:43,F,Boston 
2003,Svetlana Zakharova, Russia,2:25:19,F,Boston 
2004,Catherine Ndereba, Kenya,2:24:27,F,Boston 
2005,Catherine Ndereba, Kenya,2:25:12,F,Boston 
2006,Rita Jeptoo, Kenya,2:23:38,F,Boston 
2007,Lidiya Grigoryeva, Russia,2:29:18,F,Boston 
2008,Dire Tune, Ethiopia,2:25:25,F,Boston 
2009,Salina Kosgei, Kenya,2:32:16,F,Boston 
2010,Teyba Erkesso, Ethiopia,2:26:11,F,Boston 
2011,Caroline Kilel, Kenya,2:22:36,F,Boston 
2012,Sharon Cherop, Kenya,2:31:50,F,Boston 
2013,Rita Jeptoo, Kenya,2:26:25,F,Boston 
2014,Rita Jeptoo, Kenya,2:18:57,F,Boston 
2014,Buzunesh Deba, Ethiopia,2:19:59,F,Boston 
2015,Caroline Rotich, Kenya,2:24:55,F,Boston 
2016,Atsede Baysa, Ethiopia,2:29:19,F,Boston 
2017,Edna Kiplagat, Kenya,2:21:52,F,Boston 
2018,Desi Linden,USA,2:39:54,F,Boston 
2019,Worknesh Degefa, Ethiopia,2:23:31,F,Boston 
